Row Labels,WindowsOnly Number,WindowsOnly Percent,OtherVentilation Number,OtherVentilation Percent,TotalClassrooms (not inc DNE),Does Not Exist Number,Does Not Exist Percent,Operational Number,Operational Percent,Repair In Progress Number,Repair in Progress Percent,Does Not Exist or Repair in Progress Number,Does Not Exist or Repair in Progress Percent,Total Number Classrooms,Address,Latitude,Longitude,OpenCage Address,OpenCage Zip Code,OpeningDate,SchoolType,NTANumber,NTAName,JoinedSchoolListLocList,Census_tract,numSchools,studentEnrollment,studentCases,staffAndTeacherEnrollment,staffAndTeacherCases,totalCases,totalSchoolPop,studentsPerClassroom,staffPerClassroom,totalSchoolPopPerClassroom,casePerStudent,casesPerStaff,totalCasesPerPop,"caseRatePer10,000Student","caseRatePer10,000Staff","totalCaseRatePer10,000Pop"
K186,48,0.98,1,0.02,49,0,0,3,0.06,46,0.94,46,0.94,49,7601 19 AVENUE,40.610917,-73.994258,"7601 19th Avenue, New York, NY 11214, United States of America",11214,1923,Elementary,BK28,Bensonhurst West,P.S. 186 Dr. Irving A Gladstone,27400,1,1056,7,129,1,8,1185,21.55102041,2.632653061,24.18367347,0.006628788,0.007751938,0.006751055,66.28787879,77.51937984,67.51054852
X061,35,0.92,3,0.08,38,0,0,3,0.08,35,0.92,35,0.92,38,1550 CROTONA PARK EAST,40.836156,-73.892784,"Public School 61, 1550 Crotona Park East, New York, NY 10460, United States of America",10460,1922,Elementary,BX75,Crotona Park East,"P.S. 061 Francisco Oller, E.S.M.T-I.S. 190",15300,2,525,1,80,1,2,605,13.81578947,2.105263158,15.92105263,0.001904762,0.0125,0.003305785,19.04761905,125,33.05785124
K369,18,0.95,1,0.05,19,0,0,19,1,0,0,0,0,19,383 STATE STREET,40.687432,-73.983312,"P.S. 369 Coy L. Cox School, State Street, New York, NY 11217, United States of America",11217,1922,K-12 all grades,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,P.S. K369 - Coy L. Cox School,4100,1,527,3,337,4,7,864,27.73684211,17.73684211,45.47368421,0.0056926,0.011869436,0.008101852,56.9259962,118.694362,81.01851852
K185,37,0.93,3,0.08,40,0,0,5,0.13,35,0.88,35,0.88,40,8601 RIDGE BOULEVARD,40.623598,-74.033429,"Public School 185, 8601 Ridge Boulevard, New York, NY 11209, United States of America",11209,1921,Elementary,BK31,Bay Ridge,P.S. 185 Walter Kassenbrock,6000,1,584,3,71,0,3,655,14.6,1.775,16.375,0.005136986,0,0.004580153,51.36986301,0,45.80152672
K018,14,1,0,0,14,0,0,9,0.64,5,0.36,5,0.36,14,101 MAUJER STREET,40.71088,-73.946695,"Public School 18, Leonard Street, New York, NY 11222, United States of America",11222,1916,Elementary,BK90,East Williamsburg,P.S. 018 Edward Bush,50300,1,192,5,42,1,6,234,13.71428571,3,16.71428571,0.026041667,0.023809524,0.025641026,260.4166667,238.0952381,256.4102564
K178,45,0.9,5,0.1,50,0,0,50,1,0,0,0,0,50,2163 DEAN STREET,40.67538,-73.915337,"Junior High School 178, 2163 Dean Street, New York, NY 11233, United States of America",11233,1915,K-8,BK79,Ocean Hill,P.S. 178 Saint Clair Mckelway,30300,1,280,3,41,0,3,321,5.6,0.82,6.42,0.010714286,0,0.009345794,107.1428571,0,93.45794393
K174,40,0.98,1,0.02,41,0,0,41,1,0,0,0,0,41,574 DUMONT AVENUE,40.665446,-73.897604,"Public School 174, 574 Dumont Avenue, New York, NY 11207, United States of America",11207,1913,K-8,BK85,East New York (Pennsylvania Ave),"Brooklyn Gardens Elementary School, School of the Future Brooklyn",113000,2,393,0,69,0,0,462,9.585365854,1.682926829,11.26829268,0,0,0,0,0,0
K171,48,1,0,0,48,0,0,48,1,0,0,0,0,48,528 RIDGEWOOD AVENUE,40.685852,-73.869434,"Public School 171, 528 Ridgewood Avenue, New York, NY 11208, United States of America",11208,1912,Junior High-Intermediate-Middle,BK83,Cypress Hills-City Line,"I.S. 171 Abraham Lincoln, Highland Park Community School",118400,2,700,1,89,0,1,789,14.58333333,1.854166667,16.4375,0.001428571,0,0.001267427,14.28571429,0,12.67427123
X044,37,0.97,1,0.03,38,0,0,38,1,0,0,0,0,38,1825 PROSPECT AVENUE,40.842564,-73.891086,"Public School 44, 1825 Prospect Avenue, New York, NY 10457, United States of America",10457,1911,Elementary,BX17,East Tremont,P.S. 044 David C. Farragut,36902,1,246,5,41,0,5,287,6.473684211,1.078947368,7.552631579,0.020325203,0,0.017421603,203.2520325,0,174.2160279
K167,48,1,0,0,48,0,0,0,0,48,1,48,1,48,1025 EASTERN PARKWAY,40.669557,-73.934316,"Public School 167, 1025 Eastern Parkway, New York, NY 11213, United States of America",11213,1911,Elementary,BK61,Crown Heights North,New Bridges Elementary,35300,1,420,4,58,0,4,478,8.75,1.208333333,9.958333333,0.00952381,0,0.008368201,95.23809524,0,83.68200837
K162,40,0.98,1,0.02,41,3,0.07,41,0.93,0,0,3,0.07,44,1390 WILLOUGHBY AVENUE,40.706816,-73.919643,"Junior High School 162 The Willoughby, 1390 Willoughby Avenue, New York, NY 11237, United States of America",11237,1909,Junior High-Intermediate-Middle,BK77,Bushwick North,J.H.S. 162 The Willoughby,44500,1,327,1,58,1,2,385,7.431818182,1.318181818,8.75,0.003058104,0.017241379,0.005194805,30.58103976,172.4137931,51.94805195
K158,40,1,0,0,40,0,0,40,1,0,0,0,0,40,400 ASHFORD STREET,40.67259,-73.885214,"Public School 158, 400 Ashford Street, New York, NY 11207, United States of America",11207,1909,Elementary,BK82,East New York,P.S. 158 Warwick,115000,1,480,2,66,1,3,546,12,1.65,13.65,0.004166667,0.015151515,0.005494505,41.66666667,151.5151515,54.94505495
K160,35,1,0,0,35,0,0,35,1,0,0,0,0,35,5105 Fort Hamilton Parkway,40.636932,-73.999045,"Public School 160, 5105 Fort Hamilton Parkway, New York, NY 11219, United States of America",11219,1909,Elementary,BK88,Borough Park,P.S. 160 William T. Sampson,22000,1,1143,3,144,2,5,1287,32.65714286,4.114285714,36.77142857,0.002624672,0.013888889,0.003885004,26.24671916,138.8888889,38.85003885
Q090,41,0.98,1,0.02,42,0,0,42,1,0,0,0,0,42,86-50 109 STREET,40.696653,-73.839517,"Public School 90, 86-50 109th Street, New York, NY 11418, United States of America",11418,1909,Elementary,QN54,Richmond Hill,P.S. 090 Horace Mann,12800,1,672,3,88,1,4,760,16,2.095238095,18.0952381,0.004464286,0.011363636,0.005263158,44.64285714,113.6363636,52.63157895
K153,31,1,0,0,31,0,0,24,0.77,7,0.23,7,0.23,31,1970 HOMECREST AVENUE,40.601179,-73.960027,"Public School 153, 1970 Homecrest Avenue, New York, NY 11229, United States of America",11229,1908,Elementary,BK25,Homecrest,P.S. 153 Homecrest,55600,1,546,5,83,2,7,629,17.61290323,2.677419355,20.29032258,0.009157509,0.024096386,0.011128776,91.57509158,240.9638554,111.2877583
K154,24,1,0,0,24,0,0,24,1,0,0,0,0,24,1625 11 AVENUE,40.657002,-73.975967,"Public School 154, Windsor Place, New York, NY 11215, United States of America",11215,1908,Elementary,BK40,Windsor Terrace,The Windsor Terrace School,17100,1,438,5,59,0,5,497,18.25,2.458333333,20.70833333,0.011415525,0,0.010060362,114.1552511,0,100.6036217
K159,33,0.92,3,0.08,36,0,0,36,1,0,0,0,0,36,2781 PITKIN AVENUE,40.676111,-73.869705,"Public School 159, 2781 Pitkin Avenue, New York, NY 11208, United States of America",11208,1908,Elementary,BK82,East New York,P.S. 159 Isaac Pitkin,120000,1,697,7,80,0,7,777,19.36111111,2.222222222,21.58333333,0.010043042,0,0.009009009,100.4304161,0,90.09009009
K150,36,0.95,2,0.05,38,0,0,38,1,0,0,0,0,38,364 SACKMAN STREET,40.668768,-73.90514,"Public School 150, 364 Sackman Street, New York, NY 11212, United States of America",11212,1907,Elementary,BK81,Brownsville,"P.S. 150 Christopher, Brownsville Collegiate Charter School",90800,2,307,2,64,1,3,371,8.078947368,1.684210526,9.763157895,0.006514658,0.015625,0.008086253,65.1465798,156.25,80.86253369
K151,30,1,0,0,30,0,0,30,1,0,0,0,0,30,763 KNICKERBOCKER AVENUE,40.693432,-73.908242,"763 Knickerbocker Avenue, New York, NY 11237, United States of America",11237,1906,Elementary,BK77,Bushwick North,P.S. 151 Lyndon B. Johnson,43700,1,306,5,57,1,6,363,10.2,1.9,12.1,0.016339869,0.01754386,0.016528926,163.3986928,175.4385965,165.2892562
Q071,46,1,0,0,46,0,0,46,1,0,0,0,0,46,62-85 FOREST AVENUE,40.711388,-73.904798,"Public School 71, 62-85 Forest Avenue, New York, NY 11385, United States of America",11385,1906,Elementary,QN20,Ridgewood,P.S. 071 Forest,59500,1,632,1,92,1,2,724,13.73913043,2,15.73913043,0.001582278,0.010869565,0.002762431,15.82278481,108.6956522,27.62430939
K149,48,0.96,2,0.04,50,0,0,50,1,0,0,0,0,50,700 SUTTER AVENUE,40.669361,-73.89276,"Junior High School 149, 700 Sutter Avenue, New York, NY 11207, United States of America",11207,1906,Elementary,BK85,East New York (Pennsylvania Ave),P.S. 149 Danny Kaye,115800,1,494,2,72,0,2,566,9.88,1.44,11.32,0.004048583,0,0.003533569,40.48582996,0,35.33568905
M132,44,0.96,2,0.04,46,0,0,46,1,0,0,0,0,46,185 WADSWORTH AVENUE,40.850561,-73.933964,"Public School 132, 185 Wadsworth Avenue, New York, NY 10033, United States of America",10033,1905,Elementary,MN35,Washington Heights North,"P.S. 132 Juan Pablo Duarte, Dos Puentes Elementary School",27100,2,606,4,89,2,6,695,13.17391304,1.934782609,15.10869565,0.00660066,0.02247191,0.008633094,66.00660066,224.7191011,86.33093525
K119,24,0.92,2,0.08,26,0,0,21,0.81,5,0.19,5,0.19,26,3829 AVENUE K,40.626038,-73.938733,"3829 Avenue K, New York, NY 11210, United States of America",11210,1904,Elementary,BK58,Flatlands,P.S. 119 Amersfort,73400,1,423,2,54,4,6,477,16.26923077,2.076923077,18.34615385,0.004728132,0.074074074,0.012578616,47.28132388,740.7407407,125.7861635
Q084,21,1,0,0,21,0,0,21,1,0,0,0,0,21,22-45 41 STREET,40.771154,-73.906117,"22-45 41st Street, New York, NY 11105, United States of America",11105,1904,Elementary,QN72,Steinway,P.S. 084 Steinway,11900,1,275,0,33,0,0,308,13.0952381,1.571428571,14.66666667,0,0,0,0,0,0
